Formula,Temperature,Heat_Capacity
B2O3,1400,134.306
B2O3,1300,131.294
B2O3,1200,128.072
B2O3,1100,124.516
B2O3,1000,120.625
B2O3,900,116.19
B2O3,800,111.169
B2O3,723,106.692
B2O3,700,105.228
B2O3,600,98.115
B2O3,500,89.287
B2O3,400,77.948
B2O3,300,62.927
B2O3,298,62.588
Be1I2,1400,89.341
Be1I2,1300,89.115
Be1I2,1200,88.78
Be1I2,1100,88.337
Be1I2,1000,87.789
Be1I2,900,87.132
Be1I2,800,86.366
Be1I2,753,85.944
Be1I2,700,
Be1I2,600,84.19
Be1I2,500,81.638
Be1I2,400,76.868
Be1I2,300,69.128
Be1I2,298,68.961
Be1F3Li1,1100,192.464
Be1F3Li1,1000,179.912
Be1F3Li1,900,167.36
Be1F3Li1,800,154.808
Be1F3Li1,700,142.256
Be1F3Li1,650,135.98
Be1F3Li1,600,129.704
Be1F3Li1,500,117.152
Be1F3Li1,400,104.6
Be1F3Li1,300,92.048
Be1F3Li1,298,91.816
Al1Cl4K1,900,199.995
Al1Cl4K1,800,196.648
Al1Cl4K1,700,190.79
Al1Cl4K1,600,183.176
Al1Cl4K1,500,174.305
Al1Cl4K1,400,165.477
Al1Cl4K1,300,156.649
Al1Cl4K1,298,156.482
Al2Be1O4,2300,248.548
Al2Be1O4,2200,233.098
Al2Be1O4,2146,226.25
Al2Be1O4,2100,220.19
Al2Be1O4,2000,209.49
Al2Be1O4,1900,201.57
Al2Be1O4,1800,195.79
Al2Be1O4,1700,191.56
Al2Be1O4,1600,188.41
Al2Be1O4,1500,185.91
Al2Be1O4,1400,183.75
Al2Be1O4,1300,181.67
Al2Be1O4,1200,179.48
Al2Be1O4,1100,177.03
Al2Be1O4,1000,174.2
Al2Be1O4,900,170.87
Al2Be1O4,800,166.83
Al2Be1O4,700,161.75
Al2Be1O4,600,154.97
Al2Be1O4,500,145.25
Al2Be1O4,400,130.28
Al2Be1O4,300,105.94
Al2Be1O4,298,105.38
B2H4O4,1400,258.99
B2H4O4,1300,253.801
B2H4O4,1200,247.442
B2H4O4,1100,239.994
B2H4O4,1000,231.333
B2H4O4,900,221.459
B2H4O4,800,210.413
B2H4O4,700,197.025
B2H4O4,600,181.711
B2H4O4,500,163.762
B2H4O4,400,143.135
B2H4O4,300,116.775
B2H4O4,298,116.19
B2Mg1,1900,92.242
B2Mg1,1800,90.249
B2Mg1,1700,88.162
B2Mg1,1600,85.981
B2Mg1,1500,83.643
B2Mg1,1400,81.17
B2Mg1,1300,78.795
B2Mg1,1200,76.442
